0.070,0
0.120,0
0.010,0
0.010,0
0.080,0
0.140,0
0.470,0
0.260,1
0.030,0
0.130,2
0.010,0
0.210,0
0.120,0
0.030,0
0.350,0
0.010,0
0.160,0
0.060,0
0.100,0
0.060,0
0.020,0
0.020,0
0.100,0
0.030,0
0.060,0
0.040,0
0.340,0
0.030,0
0.160,0
0.270,1
0.140,0
0.160,0
0.180,0
0.040,0
0.040,0
0.080,0
0.180,1
0.230,0
0.170,0
0.400,2
0.000,0
0.200,0
0.030,0
0.470,1
0.010,0
0.030,0
0.120,0
0.120,0
0.030,0
0.360,0
0.280,0
0.030,0
0.090,0
0.060,0
0.000,0
0.060,0
0.140,0
0.090,0
0.290,0
0.050,0
0.220,0
0.000,0
0.120,0
0.120,0
0.310,2
0.140,0
0.070,0
0.190,0
0.110,0
0.120,0
0.320,0
0.010,0
0.010,0
0.010,0
0.130,0
0.040,0
0.020,0
0.010,0
0.060,0
0.020,0
0.000,0
0.280,0
0.010,0
0.090,0
0.020,0
0.040,0
0.100,0
0.090,0
0.020,0
0.020,0
0.010,0
0.320,2
0.050,0
0.270,0
0.100,0
0.220,0
0.350,0
0.360,0
0.110,1
0.030,0
0.100,0
0.080,1
0.070,0
0.130,0
0.090,0
0.010,0
0.230,0
0.080,0
0.230,0
0.040,0
0.230,0
0.020,0
0.170,0
0.110,0
0.040,0
0.000,0
0.080,0
0.120,0
0.140,0
0.110,0
0.020,0
0.090,0
0.150,0
0.110,0
0.080,1
0.010,0
0.010,0
0.010,0
0.010,0
0.150,0
0.030,0
0.180,0
0.340,0
0.220,0
0.020,0
0.030,0
0.210,0
0.400,2
0.150,0
0.020,0
0.120,0
0.080,0
0.070,0
0.090,0
0.030,0
0.260,2
0.020,0
0.000,0
0.100,0
0.090,0
0.130,2
0.250,1
0.010,1
0.080,0
0.050,0
0.220,0
0.020,0
0.020,0
0.100,2
0.030,0
0.110,1
0.010,0
0.010,0
0.030,0
0.130,0
0.030,2
0.290,0
0.180,0
0.070,0
0.040,0
0.090,0
0.140,0
0.150,0
0.040,0
0.100,0
0.040,0
0.060,0
0.020,0
0.170,0
0.150,0
0.030,0
0.320,0
0.170,0
0.260,0
0.090,0
0.070,0
